Text: 哎，大家好，欢迎收听本期 juduo wave 节目。现在时间是二零二三年二月十四日上午十一点。我是 CT，我是 JF，我是饼干，我是自热。哎，还是这回就是这还是这阵容很熟悉，但是这回录的节目不一样，因为是想时效性高一点。这两天不是那个 steam next fast 嘛，, Start Time: 19210
Text: 在这个地图上跑。嗯，但是他这个在比如说这冲刺啊，然后还有什么高跳啊，然后以及他在战斗中，他其实有那么一些短暂的时间，它是能显示它整个一些形体的那形体本来是一个那种呃就是比较飒的一个那种大姐的形象。嗯，所以他你到后来玩的地地上跑吧，你看这几个点儿，嗯，你也那感觉到到是是一个人在跑，, Start Time: 5902930
Text: 他那个动动效做的特别好，那个那个平衡感特别好。嗯，对，然后地图跑图部分吧呃一般吧就是不是不是很复杂，嗯，比较一本道。嗯嗯，然后它战斗的部分其实是还挺还挺爽的。它是一个那种呃呃回合制的，就是你攻击回合，然后敌人攻击回合，你防御，然后然后这个两个转换吧。呃，你都得是以一个特别好的节奏感去打嗯你的攻击回合，, Start Time: 5925860
Text: 你可以使用魔法回合的一些这种特殊魔法来打敌人。嗯，然后然后你敌人在打你的时候，他是以一个这种先发亮。嗯，他发出这种纵向的光和横向的光，意味着他使用魔法和物理打你，然后你需要使用不同的防御方式来防他这一下。嗯，那他其实就是相当于呃首先给你一个普面，嗯，他准备这个打三下，, Start Time: 5956610
Text: 然后你再根据他是什么属性打过来，你去防这三下。嗯，如果你能防的好的话，他会给你积攒一个能量条。嗯，你这个能量条越长，他转化到你的攻击回合的时候，你就能够有更多的时间打是打出你的伤害。嗯，就反正就这么一个转换，然后直到你给敌人打出硬值之后呢，还会有一个呃还是一个短三 QT 的这么一个斩杀的环节，, Start Time: 5983110
Text: 嗯，你也可以把它打死。但是这比较难啊，嗯整体就是可能还是美术比较吃香啊，然后战斗的部分就还挺爽的吧。是就最后说这么一个，还是观众太太天色了，是真好。行，这个每次新品节都最高兴。是，那本来我玩霍霍兹，质疑狂他妈云巨他妈生气啊，尤其是奥运吗？我哇太远了，他那个 XO one 版哪怕是性能模式，, Start Time: 6007080
Text: 嗯，这时候呃时不有些地方真掉帧，掉性狠。嗯，然后再加上那个你也知道就是霍沃兹的楼梯嘛，曲径通幽，你知道吗？哎，转呢，然后和那个视野，第三人是也贴特近，嗯，啊就是很多地方。然后搞得我特生气，然后我就特别想玩，因为我作为一个哈利波特你嗯，然后就啥我都还仔仔细细的玩，, Start Time: 6038710
Text: 然后越玩越晕，哎，玩一会儿扔下之后就瘫在沙发上生气，天旋地转啊，然后隔一会儿缓过来了，然后打开视频玩玩兴奋节高兴了啊，哎，基本当时基本就这样，是我我感觉中国谈谈挺高兴，这快比咱们常规节目比比闲谈快要长了，惊了，我操是嗯，行行，先聊这些吧。以后就为我其实拿来响应这个新品节的是验是挺好的。, Start Time: 6063860
Text: 因为其他类型的节目或多或少有制作周期和什么的。对，是的，咱这都不用制作是吧，就现在就直接给出享是是反正就稍微有点遗憾啊，就是我们只能就先玩到它结束了再再来展试，是反正就不一定都能玩到下来，我们节前就分享下测是吧？预判。对，嗯，专业人士要敢于下预判是吧？是嗯，, Start Time: 6089880
Text: 行，然后最后再说一下，就是我们今天聊的这些都是基于这个二零二三年春季新品节他的这个 demo 状态。是的的，然后成品上了什么样，这不一定。对，是的，大时候可能就该是吧？是嗯，但是也是就是陪大家一起关注这些独立游戏。是的，发展什么？下次新品节再会吧。对，好好的，, Start Time: 6115200
Text: 或者下次有什么独立游戏热点，咱也可以临时录一下，就是突然冒出个什么事儿啊，或者游戏什么的，嗯，到时候再聊。嗯，好好，那感谢大家收听，感谢收听，再见，拜拜拜拜。那这是你不丢。嗯，对对对，嗯，我不不一点点。对对对，, Start Time: 6136240
